class;name;compo;mz;std;
Sphingomyelin;C45H91N2O6P;SM 40:1_O2;787.6687;no;
Sphingomyelin;C45H93N2O6P;SM 40:0_O2;789.6844;no;
Sphingomyelin;C46H93N2O6P;SM 41:1_O2;801.6844;no;
Sphingomyelin;C46H95N2O6P;SM 41:0_O2;803.7;no;
Sphingomyelin;C47H91N2O6P;SM 42:3_O2;811.6687;no;
Sphingomyelin;C47H93N2O6P;SM 42:2_O2;813.6844;no;
Sphingomyelin;C47H95N2O6P;SM 42:1_O2;815.7;no;
Sphingomyelin;C47H97N2O6P;SM 42:0_O2;817.7157;no;
Sphingomyelin;C48H95N2O6P;SM 43:2_O2;827.7;no;
Sphingomyelin;C48H97N2O6P;SM 43:1_O2;829.7157;no;
Sphingomyelin;C49H95N2O6P;SM 44:3_O2;839.7;no;
Sphingomyelin;C49H97N2O6P;SM 44:2_O2;841.7157;no;
Lyso GPEtn_Pos;C19H38NO7P;LPE 14:1;424.2459;no;
Lyso GPEtn_Pos;C21H42NO7P;LPE 16:1;452.2772;no;
Lyso GPEtn_Pos;C21H44NO7P;LPE 16:0;454.2929;no;
Lyso GPEtn_Pos;C23H42NO7P;LPE 18:3;476.2772;no;
Lyso GPEtn_Pos;C23H44NO7P;LPE 18:2;478.2929;no;
Lyso GPEtn_Pos;C23H46NO7P;LPE 18:1;480.3085;no;
Lyso GPEtn_Pos;C23H48NO7P;LPE 18:0;482.3242;no;
Lyso GPEtn_Pos;C25H42NO7P;LPE 20:5;500.2772;no;
Lyso GPEtn_Pos;C25H44NO7P;LPE 20:4;502.2929;no;
Lyso GPEtn_Pos;C25H46NO7P;LPE 20:3;504.3085;no;
Lyso GPEtn_Pos;C25H48NO7P;LPE 20:2;506.3242;no;
Lyso GPEtn_Pos;C25H50NO7P;LPE 20:1;508.3398;no;
Lyso GPEtn_Pos;C25H52NO7P;LPE 20:0;510.3555;no;
Lyso GPEtn_Pos;C27H44NO7P;LPE 22:6;526.2929;no;
Lyso GPEtn_Pos;C27H46NO7P;LPE 22:5;528.3085;no;
Lyso GPEtn_Pos;C27H48NO7P;LPE 22:4;530.3242;no;
Lyso GPEtn_Pos;C27H52NO7P;LPE 22:2;534.3555;no;
Lyso GPEtn_Pos;C27H54NO7P;LPE 22:1;536.3711;no;
Lyso GPEtn_Pos;C27H56NO7P;LPE 22:0;538.3868;no;
Lyso GPEtn_Pos;C29H60NO7P;LPE 24:0;566.4181;no;
Sphingosine;C14H31NO2;SPB 14:0_O2;246.2427;no;
Sphingosine;C16H31NO2;SPB 16:2_O2;270.2427;no;
Sphingosine;C16H33NO2;SPB 16:1_O2;272.2584;no;
Sphingosine;C16H35NO2;SPB 16:0_O2;274.274;no;
Sphingosine;C17H35NO2;SPB 17:1_O2;286.274;no;
Sphingosine;C17H37NO2;SPB 17:0_O2;288.2897;no;
Sphingosine;C18H35NO2;SPB 18:2_O2;298.274;no;
Sphingosine;C18H37NO2;SPB 18:1_O2;300.2897;no;
Sphingosine;C18H39NO2;SPB 18:0_O2;302.3053;no;
Sphingomyelin;C35H72N2O6P;SM (d18:1/12:0);647.5122;yes;
Lyso GPEtn_Pos;C19H41NO7P;LPE 14:0;426.2615;yes;
LacCer;C42H80NO13;LacCer (d18:1/12:0);806.5624;yes;
GluCer;C36H70NO8;GlcCer (d18:1/12:0);644.5096;yes;
Cer;C30H60NO3;Cer (d18:1/12:0);482.4568;yes;
GPSer;C34H67NO10P;PS (14:0/14:0);680.4497;yes;
Lyso GPCho;C21H45NO7P;Lyso PC 13:0;454.2928;yes;
GPCho;C33H67NO8P;PC (12:0/13:0);636.4599;yes;
GPEtn_Pos;C30H61NO8P;PE (12:0/13:0);594.4129;yes;
